id	title	keywords	abstract	entities	authors	year	journal	doi	fos	area	x	y	ix
e5e9838e8cdc68b4a232c5e75429702a181b7d2b	meta updater: an interactive tool for minimal view updates in knowledge bases	transaction generation;data integrity;user interface;satisfiability;minimal changes;automatic generation;communication boxes meta updater interactive tool minimal view updates knowledge bases consistency maintenance integrity constraints partial order state distance update request user interface database schema selection menus;deductive databases very large scale integration query processing circuit synthesis buildings user interfaces;utility programs interactive systems deductive databases data integrity user interfaces;updates;integrity constraints;utility programs;consistency maintenance;interactive systems;user interfaces;deductive databases;knowledge base;partial order	PhD in Computer Science 1/1995-8/2002 (Thesis defended 2002) UNIVERSITY OF ILLINOIS AT CHICAGO, Chicago, IL Department of Computer Science Thesis title: Managing Uncertainty in Moving Objects Databases Advisor: Professor Ouri Wolfson MS in Computer Science 8/1991-12/1994 (Thesis defended 1994) UNIVERSITY OF ILLINOIS AT CHICAGO, Chicago, IL Department of Electrical Engineering and Computer Science Thesis title: Minimality of View Updates in Deductive Databases Advisor: Professor Jorge Lobo BS in Informatics and Automatics, 09/1984 – 06/1989 UNIVERSITY of Sts. KIRIL and METODIJ, Skopje, Macedonia College of Engineering, Faculty of Electrical Engineering, Department of Informatics and Automatics Graduated Summa Cum Laude	computer science;electrical engineering;informatics	Goce Trajcevski;Jorge Lobo;Naveen Grover	1996		10.1109/TAI.1996.560794	knowledge base;computer science;theoretical computer science;data integrity;data mining;database;user interface	DB	-42.88577037391679	-5.432938741212199	194201
3aac44b08e0c14435b8b5ee8847903c5679bbb6d	image handling in a multi-vendor environment	data structures;computer graphics;image file formats;hardware;electronic data interchange;data visualization;software development	In an ideal world every hardware and software vendor stores the same type of data in the same file format. Software packages transparently exchange their data and results. Different vendor's hardware platforms read and write each other's files without a hitch. And the skies are not cloudy all day.This paper discusses software developed by the San Diego Supercomputer Center (SDSC) to deal with the real world of differing image file formats, mismatched byte orders and word sizes, and confusing hardcopy device interfaces.	byte;image file formats;san diego supercomputer center	David R. Nadeau;T. Todd Elvins;Michael J. Bailey	1991			computer hardware;computer science;software development;operating system;electronic data interchange;image file formats;programming language;computer graphics;data visualization;computer graphics (images)	OS	-43.97214645108122	-4.250002070246617	194308
c05a6882b5194cef9640f146b99624d924ade43d	spatio-temporal database research at the university of melbourne	distributed system;nearest neighbor queries;australian research council;spatial data;spatio temporal databases;continuous query;temporal data;p2p;p2p networks;location privacy;security;privacy;database encryption	The spatio-temporal database research group at the University of Melbourne focuses on introducing new techniques for distributed systems such as mobile and ubiquitous systems as well as P2P networks. Our approach is to exploit the spatial and temporal nature of data and queries such as motion characteristics. In this article, we discuss four major themes and projects of the group: (i) nearest neighbor queries, (ii) temporal data processing and continuous queries, (iii) P2P spatial data management, and (iv) location privacy. The group is supported by funding from the Australian Research Council and the National ICT Australia Victoria Research Laboratory.	distributed computing;peer-to-peer;spatial analysis;spatiotemporal database;temporal database;the australian;victoria (3d figure)	Egemen Tanin;Rui Zhang;Lars Kulik	2009	SIGMOD Record	10.1145/1815933.1815942	computer science;information security;peer-to-peer;data mining;database;spatial analysis;temporal database;privacy;world wide web;spatial query	DB	-43.07183287496354	-7.546571368357717	194370
cfdbc626aeb083afba5bafe24e30a335ae4c7aa8	"""corrigendum to """"underground flow simulations using parallel finite element method"""" [computers & geosciences 36 (2010) 161-166]"""	parallel finite element method;underground flow simulation	Corrigendum to ‘‘Underground flow simulations using parallel finite element method’’ [Computers & Geosciences 36 (2010) 161–166] H. Mustapha , A. Ghorayeb , K.A. Mustapha c a McGill University, Montreal, Canada, and Reservoir Engineering Research Institute, Palo Alto, USA b TIMC Laboratory University, Grenoble, France c Department of Mathematical Sciences, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia	finite element method;palo;simulation;underground	Hussein Mustapha;Abir Ghorayeb;K. A. Mustapha	2012	Computers & Geosciences	10.1016/j.cageo.2012.03.017	computational science;computer science;computational physics	HPC	-47.03946512946451	-8.143244590441913	194925
b19108c408c4e2e86409d9c776d8807bac36cb3a	experimenting grid protocols to improve privacy preservation in efficient distributed image processing	tissue microarray;image processing;data access	c © 2007 by John von Neumann Institute for Computing Permission to make digital or hard copies of portions of this work for personal or classroom use is granted provided that the copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. To copy otherwise requires prior specific permission by the publisher mentioned above.	application programming interface;authorization;confidentiality;data access;data acquisition;distributed computing;egi;experiment;image processing;input/output;medical imaging;medical privacy;middleware;point of view (computer hardware company);usability;verification and validation	Antonella Galizia;Federica Viti;Daniele D'Agostino;Ivan Merelli;Luciano Milanesi;Andrea Clematis	2007			computer hardware;image processing;parallel computing;grid;database;computer science;data access;bracket	DB	-44.6164997403569	-4.358417206817453	194972
20fc7f08b9f238daec9b817a33922d98471600dd	fundamental frontiers of quantum science and technology	text;science and technology;quantum information;technology;quantum technologies;quantum optics;micromechanical systems;quantum physics;conferenceobject;quantum theory;atomic physics;mesfet devices;theoretical treatments;quantum sensing;foundations of quantum physic;article;matter waves;molecular quantum optics	Fundamental Frontiers of Quantum Science and Technology Markus Arndt a,∗, Angelo Bassi b, Domenico Giulini c, Antoine Heidmann d, Jean-Michel Raimond e a Vienna Center for Quantum Science and Technology, University of Vienna, Faculty of Physics, Boltzmanngasse 5, A-1090 Vienna, Austria b Department of Physics, University of Trieste, Strada Costiera, 11-34151 Miramare-Trieste, Italy c Institute for Theoretical Physics, University of Hannover, Appelstrasse 2, D-30167 Hannover, Germany & Center of Applied Space Technology and Microgravity, Am Fallturm 1, D-28359 Bremen, Germany d Laboratoire Kastler Brossel, Université Pierre et Marie Curie, Case 74, 4 place Jussieu, F-75252 Paris, France e Laboratoire Kastler Brossel, Ecole Normale Supérieure, CNRS et Université Pierre et Marie Curie, 24 rue Lhomond, F-75005 Paris, France	jean;quantum	Markus Arndt;Angelo Bassi;Domenico Giulini;Antoine Heidmann;Jean-Michel Raimond	2011		10.1016/j.procs.2011.12.024	quantum nanoscience;quantum information;quantum information science;quantum optics;open quantum system;quantum dynamics;quantum mechanics;technology	Theory	-47.48980840001591	-8.439151986995277	195384
bbff47a68f47cdb2eeb5ec50bd3d646525d195c2	network data streaming: algorithms for network measurement and monitoring	network monitoring;high speed networks;computer networks;expectation maximization;dissertation;network algorithms;data streaming	Education Georgia Institute of Technology, Atlanta, GA. August 2002 December 2005 Ph.D. from the College of Computing, with a GPA of 4.0. Indian Institute of Technology, Delhi, India. July 1998 May 2002 Bachelor of Technology, Major in Computer Science and Engineering with a GPA of 8.7/10. L’Institute National des Sciences Appliquée (INSA) Lyon, France. August 2000 May 2001 Enrolled as an international exchange student for the academic year 2000-01.	computer engineering;software release life cycle;streaming algorithm	Abhishek Kumar	2005			traffic generation model;network traffic control;real-time computing;network formation;computer science;dynamic network analysis;data mining;network simulation;distributed computing;network delay	DB	-45.0356051015667	-6.980158390806909	198225
62bd33355b7d987ce643fdfe9c3a323e842a9032	pangaea - an icsu world data center as a networked publication and library system for geoscientific data	digital library;data center	Since 1992 PANGAEA R © serves as an archive for all types of geoscientific and environmental data. From the beginning the PANGAEA group started initiatives and aimed at an organisation structure which – beyond the technical structure and operation of the system – would help to improve the quality and general availability of scientific data. Project data management is done since 1996. 2001 the ICSU World Data Center for Marine Environmental Sciences (WDC-MARE) was founded and since 2003 – together with other German WDC – the group was working on the development of data publications as a new publication type. To achieve interoperability with other data centers and portals the system was adapted to global information standards. PANGAEA R © has implemented a number of community specific data portals. 2007 – under the coordination of the PANGAEA R © group – an initiative for networking all WDC was started. On the long range ISCU supports plans to develop the WDC system into a global network of publishers and open access libraries for scientific	archive;data center;global network;interoperability;library (computing);library classification;pangaea (data library);persistent identifier;portals;scientific literature;software release life cycle;wdc 65c21	Michael Diepenbroek;Uwe Schindler;Hannes Grobe	2008			data center;digital library;computer science;law;world wide web	HPC	-41.46039991867441	-4.279697285903583	198389
0698857947c34bb56e172a38211e92a67ff994ad	csiro routing and ad-hoc experiments at trec-6		CSIRO stands for Commonwealth Scientific and Industrial Research Organization. It is the Australian Government’s main research body. This is the first year CSIRO is taking part in TREC. We got involved in textual information retrieval research as a part of our activities in Resource Discovery Unit at the Research Data Network Co-operative Research Centre. The primary aim of our research in IR is improvement of the efficiency of resource discovery systems and networked information retrieval.	hoc (programming language);information retrieval;routing;text retrieval conference;the australian	Arkadi Kosmynin	1997			information retrieval;computer science	Web+IR	-45.460313398874845	-9.613375732233544	198802
91fd577f89b89d0875f7e0739f1f63c27f70ae65	implementation and evaluation of a browsing algorithm for design applications	data integrity;cpu time browsing algorithm design applications extended relational database adam composite objects aggregation hierarchies relative difference of matching components number of nonmatching components standard integrity constraint database;relational database;integrity constraints;relational databases;relational databases data integrity;algorithm design and analysis application software design automation computer aided manufacturing cadcam graphics user interfaces data engineering relational databases information systems	This paper presents important issues on the design and implementation of a Multimedia Digital Classroom (MDC) system with its applications. The MDC system is implemented in Java language. It aims at providing important tools to support a distributed interactive education environment. The system consists of a classroom manager and some powerful teaching application tools. The classroom manager is a sharing system with a database. The teaching application tools include Multimedia Internet Browser, Shared White Board, Multi-Channel Audio Conference, WWWBased Note-Taking System, and Instruction Evaluation System. The MDC system and these application tools have been implemented and tested on the heterogeneous environment where workstations and PCs are connected through networks.	algorithm;browsing;database;java;workstation	Yosihisa Udagawa	1991		10.1109/ICDE.1991.131454	relational model;entity–relationship model;relational database;computer science;theoretical computer science;database model;data integrity;data mining;database;programming language;database design	HPC	-42.88251276140217	-5.263994946183229	198877
